Bulk import,Bulk export,labels
25.1,7.0,1989
25.9,6.9,1990
28.0,7.5,1991
27.0,7.9,1992
26.5,7.1,1993
24.6,8.7,1994
26.8,9.4,1995
25.7,8.4,1996
28.8,7.9,1997
26.9,9.0,1998
27.4,9.8,1999
26.0,10.4,2000
29.5,9.7,2001
28.4,9.1,2002
30.1,9.3,2003
29.6,8.2,2004
29.8,10.1,2005
32.2,10.5,2006
31.5,10.2,2007
31.8,10.6,2008
25.5,11.3,2009
30.0,10.3,2010
30.1,9.5,2011
29.5,9.9,2012
31.1,11.2,2013
31.2,11.8,2014
32.5,13.4,2015
33.4,11.5,2016
33.1,11.6,2017
34.0,10.2,2018
32.3,9.0,2019
28.0,10.5,2020
29.7,10.1,2021
27.2,9.0,2022
26.9,9.3,2023
